"sitters_user_id","counties","sitters_member_id","sitters_sitter_has_review_yes_no","sitters_average_rating","sitters_total_number_of_reviews","sitters_birth_date","sitters_gender","sitters_zipcode","sitters_pay_min","sitters_pay_max","sitter_profiles_nanny_pay_rate","sitters_care_type","sitter_profiles_nanny_pay_min","sitter_profiles_education_completed","sitters_background_check_submitted_ever_yes_no","sitter_profiles_years_of_experience","sitter_profiles_comfortable_with_pets_yes_no","sitter_profiles_sick_children_yes_no","sitter_profiles_smoker_yes_no","sitter_profiles_childcare_profile_completed_yes_no","sitter_profiles_childcare_reference_count","sitter_profiles_homework_help_yes_no","sitter_profiles_cpr_certified_yes_no","sitter_profiles_first_aid_training_yes_no","sitter_profiles_childcare_access_to_transportation_yes_no","special_needs_yes_no","sitters_city","NA","laundry","travel_with_family","potty_training","crafts","swimming_supervision","light_housekeeping","meal_preparation","age_range","mean_pay_rate_sitters"
"ae41bfc7-09f4-5cdf-bc72-d8e9b81a1f56","Hampden",15510242,"No",NA,0,21,"female","01085","17","25",NA,"Babysitter",NA,"Some High School","No",4,"Yes","No","No","Yes",1,"Yes","Yes","No","Yes","No","Westfield",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes","18-24",21
"c0865c6d-55eb-5f65-b47e-9fc4ee1b977f","Berkshire",18732546,"No",NA,0,22,"female","01201","15","25",NA,"Babysitter",NA,NA,"No",3,"Yes","No","No","Yes",NA,"No","Yes","No","Yes","No","Pittsfield","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",20
"60abaf67-8126-5760-9e15-eb9e862af5ce","Hampshire",17262641,"Yes",5,2,25,"female","01002","13","25",NA,"Babysitter",NA,"Some College","Yes",8,"Yes","Yes","No","Yes",2,"Yes","No","No","Yes","Yes","Amherst",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","25-34",19
"fc549232-1de1-5e7a-a8fb-ba0f574e6abf","Franklin",17939445,"No",NA,0,30,"female","01301",NA,NA,"{""min"":1300,""max"":1800}","Nanny","$13.00","Some College","Yes",1,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","Yes","Yes","Greenfield",NA,"Yes",NA,"Yes","Yes",NA,"Yes","Yes","25-34",NA
"23dfd1cc-dcbe-5e78-9935-11c408d01b98","Berkshire",19124930,"No",NA,0,21,"female","01201","13","19","{""min"":1300,""max"":2000}","Babysitter","$13.00","High School Degree","No",2,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","No","Yes","Pittsfield",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","18-24",16
"2a6eec5f-6e74-5956-9d6b-7e9df550c356","Berkshire",20254354,"No",NA,0,19,"female","01201","15","40",NA,"Babysitter",NA,NA,"No",10,"Yes","No","No","Yes",NA,"No","No","No","No","No","Allendale","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",27.5
"07688a3f-abde-5f68-95ba-4b4b21c87001","Worcester",18172307,"No",NA,0,64,"female","01453","15","18","{""min"":1500,""max"":2000}","Nanny","$15.00","High School Degree","No",3,"Yes","Yes","No","Yes",NA,"No","Yes","No","Yes","No","Leominster",NA,"Yes",NA,"Yes",NA,NA,"Yes","Yes","55-64",16.5
"21b54722-874d-599e-83f0-d2fbf416817c","Franklin",18895011,"No",NA,0,29,"female","01341","18","25","{""min"":1500,""max"":3000}","Nanny","$15.00","Some Graduate School","No",15,"Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes","Yes","Conway",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","25-34",21.5
"68a0cb6b-896f-5320-921a-669a0d634cde","Worcester",10415901,"No",NA,0,27,"female","01453","12","20",NA,"Babysitter",NA,"College Degree","No",5,"Yes","No","No","Yes",NA,"Yes","Yes","Yes","Yes","No","Leominster",NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","25-34",16
"bc151f9f-9e28-5969-a7e0-1b0da36f518b","Franklin",19283413,"No",NA,0,59,"female","01349",NA,NA,"{""min"":2000,""max"":2500}","Nanny","$20.00",NA,"No",1,"Yes","No","No","Yes",NA,"No","No","No","No","No","Millers Falls","Yes",NA,NA,NA,NA,NA,NA,NA,"55-64",NA
"91554292-71d8-5957-a693-ab194c4d6ef4","Franklin",19724165,"No",NA,0,24,"female","01375","13","20",NA,"Babysitter",NA,NA,"No",6,"Yes","No","No","Yes",NA,"No","No","No","No","No","Sunderland","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",16.5
"e3ec7c86-25bf-529a-bff8-0717fd3d7ff5","Hampden",20109577,"No",NA,0,62,"female","01085",NA,NA,"{""min"":0,""max"":2000}","Nanny","$0.00",NA,"No",25,"Yes","No","No","Yes",NA,"No","No","No","No","No","Montgomery","Yes",NA,NA,NA,NA,NA,NA,NA,"55-64",NA
"340f7f2b-fb91-5a7e-be44-ae6b62f7cade","Berkshire",20261645,"No",NA,0,20,"male","01201","17","40",NA,"Babysitter",NA,NA,"No",0,"Yes","No","No","Yes",NA,"No","No","No","No","No","Allendale","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",28.5
"e760b9b7-d27a-59a8-b1c6-d3b80995bbb4","Worcester",19386187,"Yes",5,1,32,"female","01453","22","40",NA,"Babysitter",NA,"College Degree","Yes",11,"Yes","Yes","No","Yes",NA,"No","Yes","Yes","Yes","No","Leominster",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","25-34",31
"e9d7affc-1aac-56fa-a894-b4db136695de","Worcester",17614640,"No",NA,0,23,"female","01453","26","30","{""min"":3000,""max"":4000}","Babysitter","$30.00","Some Graduate School","No",3,"Yes","Yes","No","Yes",NA,"No","No","No","Yes","No","Leominster",NA,"Yes","Yes","Yes","Yes",NA,"Yes","Yes","18-24",28
"0a4de947-e84b-5e71-9639-9cf42ce0c384","Hampden",17258618,"No",NA,0,27,"female","01085","18","24",NA,"Babysitter",NA,NA,"Yes",3,"Yes","No","No","Yes",NA,"No","No","No","No","No","Westfield","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",21
"6b01ae33-fd69-52e8-8d54-03c5d6766867","Berkshire",19426311,"No",NA,0,22,"female","01201","15","25",NA,"Babysitter",NA,NA,"No",0,"Yes","No","No","Yes",NA,"No","No","No","No","No","Allendale","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",20
"22789940-f314-56e0-8f09-c0236fb8d4d4","Franklin",17755581,"No",NA,0,23,"female","01351","15","50",NA,"Babysitter",NA,"Some College","Yes",3,"Yes","Yes","No","Yes",NA,"Yes","No","No","Yes","No","Montague",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes","18-24",32.5
"1d961117-d552-562c-aaf6-be0dfdc279fc","Berkshire",19064894,"No",NA,0,21,"female","01201",NA,NA,"{""min"":2000,""max"":3000}","Nanny","$20.00",NA,"No",1,"Yes","No","No","Yes",NA,"No","No","No","No","No","Pittsfield","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",NA
"4502cac5-c5fc-50e0-a314-4eeff2fa2904","Berkshire",19596455,"No",NA,0,40,"female","01201","17","20","{""min"":1700,""max"":2000}","Babysitter","$17.00","Some College","No",2,"Yes","Yes","Yes","Yes",2,"Yes","Yes","Yes","No","Yes","Pittsfield",NA,"Yes",NA,"Yes","Yes",NA,"Yes","Yes","35-44",18.5
"d4cb06d4-0d5c-55cd-bdce-57c00781f3c4","Hampden",20337936,"No",NA,0,30,"female","01085","15","20","{""min"":1500,""max"":2000}","Nanny","$15.00","College Degree","No",5,"Yes","No","No","Yes",NA,"Yes","No","No","Yes","No","Westfield",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","25-34",17.5
"c81033ef-1ab6-5f3c-95b0-3fbd1d5fd9af","Hampden",18602238,"No",NA,0,24,"female","01085","22","30",NA,"Babysitter",NA,"Some College","No",7,"Yes","No","No","Yes",1,"Yes","No","No","Yes","Yes","Westfield",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","18-24",26
"01b604ab-fd0e-50f4-bcbf-3674d3f1ece8","Worcester",19903040,"No",NA,0,37,"female","01453",NA,NA,"{""min"":0,""max"":0}","Nanny","$0.00",NA,"No",9,"Yes","No","No","Yes",NA,"No","No","No","No","No","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"35-44",NA
"e80d7b83-4244-5ec7-938d-47d9a5e66fe9","Hampshire",19553146,"No",NA,0,26,"female","01002","0","0",NA,"Babysitter",NA,NA,"No",3,"Yes","Yes","No","Yes",NA,"Yes","No","No","No","No","Amherst",NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes","25-34",0
"bb8e79b4-3988-5136-ad8e-036e7875560e","Hampden",18575013,"No",NA,0,24,"female","01085","15","20",NA,"Babysitter",NA,NA,"No",5,"Yes","No","No","Yes",NA,"No","No","No","No","No","Westfield","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",17.5
